baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.5,0.5,rare-first,0.5232080100789073,0.003204774008177695,0.001215603934136368,0.6206896551724135
nothing -> free,nothing,free,net_benefit,0.5,0.75,rare-first,0.8137059876666004,0.0,0.04796110067410764,
nothing -> free+education,nothing,free+education,net_benefit,0.5,0.75,rare-first,0.8137059876666004,0.0,0.004199359045198359,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.5,0.75,rare-first,0.8137059876666004,0.0,0.0057464913250082905,
free -> free+education,free,free+education,net_benefit,0.5,0.75,rare-first,0.8137059876666004,0.04796110067410764,0.004199359045198359,0.9124423963133642
free -> free+education+hours,free,free+education+hours,net_benefit,0.5,0.75,rare-first,0.8137059876666004,0.04796110067410764,0.0057464913250082905,0.880184331797235
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.5,0.75,rare-first,0.8137059876666004,0.004199359045198359,0.0057464913250082905,-0.3684210526315814
nothing -> free,nothing,free,net_benefit,0.5,1.0,full,1.0,0.0,0.05127638413084319,
nothing -> free+education,nothing,free+education,net_benefit,0.5,1.0,full,1.0,0.0,0.005525472427892579,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.5,1.0,full,1.0,0.0,0.0072936236048182085,
free -> free+education,free,free+education,net_benefit,0.5,1.0,full,1.0,0.05127638413084319,0.005525472427892579,0.892241379310345
free -> free+education+hours,free,free+education+hours,net_benefit,0.5,1.0,full,1.0,0.05127638413084319,0.0072936236048182085,0.8577586206896552
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.5,1.0,full,1.0,0.005525472427892579,0.0072936236048182085,-0.32000000000000073
nothing -> free,nothing,free,net_benefit,0.55,0.25,rare-first,0.26748889330946224,0.0,0.01748505052737564,
nothing -> free+education,nothing,free+education,net_benefit,0.55,0.25,rare-first,0.26748889330946224,0.0,-0.00015962475902800422,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.55,0.25,rare-first,0.26748889330946224,0.0,-0.00018418241426308712,
free -> free+education,free,free+education,net_benefit,0.55,0.25,rare-first,0.26748889330946224,0.01748505052737564,-0.00015962475902800422,1.0091292134831458
free -> free+education+hours,free,free+education+hours,net_benefit,0.55,0.25,rare-first,0.26748889330946224,0.01748505052737564,-0.00018418241426308712,1.0105337078651686
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.55,0.25,rare-first,0.26748889330946224,-0.00015962475902800422,-0.00018418241426308712,
nothing -> free,nothing,free,net_benefit,0.55,0.5,rare-first,0.5232080100789073,0.0,0.03778195257916773,
nothing -> free+education,nothing,free+education,net_benefit,0.55,0.5,rare-first,0.5232080100789073,0.0,0.001989170074041327,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.55,0.5,rare-first,0.5232080100789073,0.0,0.0015839687626625354,
free -> free+education,free,free+education,net_benefit,0.55,0.5,rare-first,0.5232080100789073,0.03778195257916773,0.001989170074041327,0.9473513162170947
free -> free+education+hours,free,free+education+hours,net_benefit,0.55,0.5,rare-first,0.5232080100789073,0.03778195257916773,0.0015839687626625354,0.9580760480987977
