log,target,metric,unit,measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC15_4,handover,nagelkerke,Nagelkerke R2,equal-level,weighted-mean,216,False,0.17544358612596478,0.0,0.0,0.6013755139598569,0.17544358612596478,0.17544358612596478,-0.4259319278338921,0.4027777777777778
BPIC15_4,handover,nagelkerke,Nagelkerke R2,reference,one-number,216,False,0.12324582594395693,0.0,0.0,0.35807855316104725,0.12324582594395693,0.12324582594395693,-0.23483272721709034,0.29
BPIC15_4,handover,nagelkerke,Nagelkerke R2,reference,uniform-beneficial,216,False,0.12324582594395693,0.0,0.0,0.35807855316104725,0.12324582594395693,0.12324582594395693,-0.23483272721709034,0.29
BPIC15_4,handover,nagelkerke,Nagelkerke R2,reference,majority,216,False,0.12324582594395693,0.0,0.0,0.35807855316104725,0.12324582594395693,0.12324582594395693,-0.23483272721709034,0.29
BPIC15_4,handover,nagelkerke,Nagelkerke R2,reference,weighted-mean,216,False,0.12324582594395693,0.0,0.0,0.35807855316104725,0.12324582594395693,0.12324582594395693,-0.23483272721709034,0.29
BPIC15_4,handover,nagelkerke,Nagelkerke R2,concentrated,one-number,216,False,0.02572877238587653,0.0,0.0,0.10721016044453152,0.02572877238587653,0.02572877238587653,-0.08148138805865499,0.15103999999999995
BPIC15_4,handover,nagelkerke,Nagelkerke R2,concentrated,uniform-beneficial,216,False,0.02572877238587653,0.0,0.0,0.10721016044453152,0.02572877238587653,0.02572877238587653,-0.08148138805865499,0.15103999999999995
BPIC15_4,handover,nagelkerke,Nagelkerke R2,concentrated,majority,216,False,0.02572877238587653,0.0,0.0,0.10721016044453152,0.02572877238587653,0.02572877238587653,-0.08148138805865499,0.15103999999999995
BPIC15_4,handover,nagelkerke,Nagelkerke R2,concentrated,weighted-mean,216,False,0.02572877238587653,0.0,0.0,0.10721016044453152,0.02572877238587653,0.02572877238587653,-0.08148138805865499,0.15103999999999995
BPIC15_5,duration,ap,average precision,equal-level,one-number,216,True,0.007790129445043325,0.0,0.0,0.007790129445043325,0.03871433721859203,0.007790129445043325,0.0309242077735487,0.7638888888888888
BPIC15_5,duration,ap,average precision,equal-level,uniform-beneficial,216,False,0.03871433721859203,0.030924207773548703,3.969665458283886,0.007790129445043325,0.03871433721859203,0.007790129445043325,0.0309242077735487,0.7638888888888888
BPIC15_5,duration,ap,average precision,equal-level,majority,216,True,0.007790129445043325,0.0,0.0,0.007790129445043325,0.03871433721859203,0.007790129445043325,0.0309242077735487,0.7638888888888888
