log,target,learner,quality,level,rung,metric,V,without_f,with_f,se,lo,hi,n_draws,mean,resolved
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,logloss_skill,0.0016830510225165352,0.20781944559211085,0.2095024966146274,0.001574275026669315,-0.002493761377640466,0.003935026688530608,200,0.0010186832318051704,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.050,-5.2699335235550926e-05,0.39789127374293265,0.3978385744076971,0.0002929955731059081,-0.0008546702903733369,0.0003618373999653397,200,-0.00017526293204044195,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.075,0.0006378857759203882,0.383148990787383,0.3837868765633034,0.000442511562600853,-0.000583278887527218,0.0010902531053439538,200,0.00022394623202805247,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.100,0.0003893895325736141,0.36960218693876257,0.3699915764713362,0.0005448338759043449,-0.0005338212622577859,0.0014782895468777577,200,0.0004781544525500991,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.125,0.0016960581972740862,0.3561722214275497,0.35786827962482376,0.0007411050273217705,-0.0009006477716247685,0.0020546825510349533,200,0.0004927764268344983,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.150,0.000509057864312934,0.34444706218920124,0.34495612005351417,0.0008633851556499509,-0.0012454037544069596,0.002133730763081997,200,0.0003872415795097925,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.175,-0.0001842195376739464,0.33081060931153905,0.3306263897738651,0.000902850914235634,-0.001844687758720097,0.0016036852576689039,200,0.0001548961218536396,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.200,-0.00017880131597763915,0.31722929480760975,0.3170504934916321,0.001143124892135013,-0.0025631168645401086,0.001951616363896439,200,-1.582391646403003e-05,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.225,-0.0001661121903276941,0.3019204414892881,0.3017543292989604,0.0013019040212182175,-0.0035302301115258962,0.0022344396712824393,200,-5.7008780874951425e-05,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nb_0.250,0.0001192008773184261,0.28698803223191727,0.2871072331092357,0.001662162458303865,-0.003983693319982877,0.0027922805511848775,200,-0.00031719353454441325,False
