claim_id,macro,value,n_uses,locations,sections,generator,source_line,result_file,verified_independently,unresolved,headline
K672,sFamilyPct,5.2\%,2,40_multilog.tex:137; app_secondary.tex:28,The pipeline axis is two axes,round21_numbers.py,614,s37_facts.csv,True,False,False
K673,sLearnerPct,3.6\%,1,40_multilog.tex:75,What the choices are worth,round20_numbers.py,245,s22_indices.csv,True,False,False
K674,sQualityPct,4.2\%,1,40_multilog.tex:75,What the choices are worth,round20_numbers.py,245,s22_indices.csv,True,False,False
K675,sRungPct,5.5\%,1,40_multilog.tex:74,What the choices are worth,round20_numbers.py,245,s22_indices.csv,True,False,False
K676,sSplitPct,18.9\%,2,40_multilog.tex:74; app_rolling.tex:8,What the choices are worth,round20_numbers.py,245,s22_indices.csv,True,False,False
K677,scaDisagreePair,BPIC13_incidents/handover,0,,,round21_numbers.py,603,s36_verdicts.csv,False,False,False
K678,scaPmax,1.000,0,,,round21_numbers.py,597,s36_verdicts.csv,False,False,False
K679,scaPmin,0.010,0,,,round21_numbers.py,598,s36_verdicts.csv,False,False,False
K680,seedSdMax,0.0356,0,,,round20_numbers.py,431,s27_facts.csv,False,False,False
K681,seedSdMedian,0.0034,0,,,round20_numbers.py,430,s27_facts.csv,True,False,False
K682,seedSdMedianCase,0.0008,0,,,round21_numbers.py,696,s39_integrals.csv,False,False,False
K683,shLearnerPct,2.6\%,0,,,round20_numbers.py,249,s22_indices.csv,False,False,False
K684,shMetricPct,10.1\%,0,,,round20_numbers.py,249,s22_indices.csv,False,False,False
K685,shQualityPct,2.7\%,0,,,round20_numbers.py,249,s22_indices.csv,False,False,False
K686,shRungPct,1.9\%,0,,,round20_numbers.py,249,s22_indices.csv,False,False,False
K687,shSplitPct,9.4\%,0,,,round20_numbers.py,249,s22_indices.csv,False,False,False
K688,shareCohortPct,0.0\%,3,00_front_intro_related.tex:273; 50_cmdb.tex:41; 80_limits.tex:257,"Conclusion; Introduction; One log, two published answers, and what separates them",round21_numbers.py,219,s32_tiebreak.csv,False,False,True
K689,shareCohortTargetPct,0.7\%,1,50_cmdb.tex:41,"One log, two published answers, and what separates them",round21_numbers.py,220,s32_tiebreak.csv,False,False,False
K690,shareCounterfactualCrossPct,2.7\%,1,40_multilog.tex:277,What one number costs,round21_numbers.py,512,s34_family.csv,False,False,False
K691,shareCounterfactualPct,4.2\%,1,40_multilog.tex:265,What one number costs,round21_numbers.py,509,s34_family.csv,False,False,False
K692,shareDegenerateDcaMaxPct,17.2\%,1,75_simulation.tex:160,The band's family-wise coverage,round21_numbers.py,998,s41_profile.csv,False,False,False
K693,shareLatitudeCrossPct,19.2\%,1,40_multilog.tex:276,What one number costs,round21_numbers.py,510,s34_family.csv,False,False,False
K694,shareLatitudePct,11.1\%,1,40_multilog.tex:264,What one number costs,round21_numbers.py,507,s34_family.csv,False,False,False
K695,shareResamplingCrossPct,9.4\%,1,40_multilog.tex:276,What one number costs,round21_numbers.py,511,s34_family.csv,False,False,False
K696,shareResamplingPct,18.9\%,1,40_multilog.tex:264,What one number costs,round21_numbers.py,508,s34_family.csv,False,False,False
K697,shareTargetPct,99.3\%,3,00_front_intro_related.tex:272; 50_cmdb.tex:40; 80_limits.tex:257,"Conclusion; Introduction; One log, two published answers, and what separates them",round21_numbers.py,218,s32_tiebreak.csv,False,False,True
