log,target,metric,split_set,share_resampling,share_analyst,share_counterfactual,share_mixed,check_sum,var_pooled
BPIC13_incidents,duration,brier_skill,rolling,0.7550841115742086,0.21235626696883586,0.015822122228658947,0.016737499228296492,1.0,0.002998267813260065
BPIC13_incidents,duration,logloss_skill,rolling,0.8135934772465354,0.15346730930035957,0.018502727327967147,0.014436486125137649,0.9999999999999998,0.013419534345050908
BPIC13_incidents,duration,nagelkerke,rolling,0.8386046941713107,0.05293774826648365,0.03527983474407817,0.07317772281812746,1.0,3.671806567228572
BPIC13_incidents,handover,ap,rolling,0.16515275590572162,0.6984185373526621,0.09361136252834007,0.04281734421327622,1.0,0.0014336146000173643
BPIC13_incidents,handover,auc,rolling,0.20409763471775225,0.5513467340402971,0.18124056615244874,0.06331506508950177,0.9999999999999999,0.0016417039554902342
BPIC13_incidents,handover,brier_skill,rolling,0.43516312803421686,0.19429490817107345,0.3338998432319782,0.03664212056273147,1.0,0.0027723870715332965
BPIC13_incidents,handover,logloss_skill,rolling,0.8114148866818796,0.13574306290067797,0.026436400569523243,0.026405649847919495,1.0000000000000002,0.026556996766091943
BPIC13_incidents,handover,nagelkerke,rolling,0.8390994747986767,0.07819660698196733,0.02099492116652873,0.06170899705282712,0.9999999999999998,1.0722645941501063
BPIC14,duration,ap,rolling,0.07990322889150284,0.6907356256055229,0.16215965359626555,0.06720149190670857,0.9999999999999998,0.0028720258801228867
BPIC14,duration,auc,rolling,0.05160878204696776,0.6651647203313498,0.17457576692241075,0.10865073069927159,0.9999999999999998,0.002039086719072403
BPIC14,duration,brier_skill,rolling,0.04907155046215931,0.7150279685598822,0.15371391996073813,0.08218656101722041,1.0,0.0029721011136834624
BPIC14,duration,logloss_skill,rolling,0.05278266688263904,0.7105025755189756,0.1560102294151086,0.08070452818327677,0.9999999999999999,0.0019470736825032797
BPIC14,duration,nagelkerke,rolling,0.05499725581902049,0.7138292072979607,0.15243604076194808,0.07873749612107026,0.9999999999999996,0.005132292374274204
BPIC14,handover,ap,rolling,0.05238139994887688,0.8595037530250214,0.03237098765711839,0.055743859368983226,0.9999999999999999,0.00022991291203809498
BPIC14,handover,auc,rolling,0.03925913979100863,0.815973841991753,0.07071752969449534,0.07404948852274287,0.9999999999999998,0.009731138315107725
BPIC14,handover,brier_skill,rolling,0.03492244512839534,0.6891188404553658,0.1572474707599491,0.1187112436562898,1.0,0.010570102130285818
BPIC14,handover,logloss_skill,rolling,0.04261775309511025,0.7193304984374049,0.1320207192372092,0.10603102923027556,1.0,0.013514380551086768
BPIC14,handover,nagelkerke,rolling,0.035244826341871316,0.736604299529566,0.12530076206723584,0.10285011206132673,0.9999999999999999,0.017835225290043385
BPIC15_1,duration,ap,rolling,0.7625520525668916,0.11905307301674466,0.09179400667720618,0.026600867739157597,1.0,0.0021384071329400454
BPIC15_1,duration,auc,rolling,0.7024630439661872,0.2569559562104413,0.007656475464637326,0.032924524358734164,1.0,0.002172715155065139
BPIC15_1,duration,brier_skill,rolling,0.8682608897700922,0.05239784644013125,0.02816470951279573,0.05117655427698086,1.0,0.007081359555834351
BPIC15_1,duration,logloss_skill,rolling,0.8167076902280209,0.08347773060025246,0.03921389991659444,0.060600679255132,0.9999999999999998,0.009228144703873687
BPIC15_1,duration,nagelkerke,rolling,0.8251567937126205,0.07538266436335977,0.04268202201313788,0.056778519910881814,0.9999999999999999,0.04126330084948909
BPIC15_1,handover,ap,rolling,0.3018539401271773,0.6389072569650817,0.013052894985563853,0.04618590792217717,0.9999999999999999,7.031520450206304e-05
BPIC15_1,handover,auc,rolling,0.40295774773481546,0.5185206260603651,0.03802852228001258,0.04049310392480708,1.0000000000000002,0.0010858936529774441
BPIC15_1,handover,brier_skill,rolling,0.6704579836170121,0.12370508591853277,0.14055152873380228,0.06528540173065281,1.0,0.009778188308967062
BPIC15_1,handover,logloss_skill,rolling,0.7822409544857695,0.13088358537795902,0.028190872590995238,0.058684587545276244,1.0,0.06317986834365868
BPIC15_1,handover,nagelkerke,rolling,0.8262922540326335,0.14485801428244727,0.001639382915640294,0.027210348769279188,1.0000000000000002,2.1624573761012216
BPIC15_3,duration,ap,rolling,0.6435406482723123,0.2047631952329578,0.1352224190924435,0.01647373740228629,0.9999999999999999,0.003917671388640013
BPIC15_3,duration,auc,rolling,0.7253900043266494,0.09882090688331283,0.162077384397839,0.013711704392198994,1.0000000000000002,0.004619094641049693
BPIC15_3,duration,brier_skill,rolling,0.8447107865821432,0.05438672574797278,0.07914025272162045,0.021762234948263487,0.9999999999999999,0.018728688228869923
BPIC15_3,duration,logloss_skill,rolling,0.8833914037718549,0.057740086130871934,0.036427711544049106,0.022440798553223718,0.9999999999999996,0.025906672306602745
BPIC15_3,duration,nagelkerke,rolling,0.9183950153435481,0.04223106625675556,0.02308669264824216,0.016287225751454165,0.9999999999999999,0.21829130720207318
BPIC15_3,handover,ap,rolling,0.7205936255336434,0.25138092755232205,0.012601887844754,0.01542355906928082,1.0000000000000002,0.0004047977114149909
BPIC15_3,handover,auc,rolling,0.6402124094040192,0.336150726369759,0.006000884044989729,0.017635980181231886,1.0,0.003741150093759445
BPIC15_3,handover,brier_skill,rolling,0.8822136757290701,0.06319008836158067,0.015047154620795502,0.039549081288553535,0.9999999999999998,0.021529465235732695
BPIC15_3,handover,logloss_skill,rolling,0.7849377546270933,0.18297839976562436,0.0026152746874724196,0.029468570919810068,1.0000000000000002,0.07146977966407603
BPIC15_3,handover,nagelkerke,rolling,0.777168677947426,0.18953942935182555,0.006228363316132597,0.02706352938461582,1.0,0.4608804052901226
BPIC15_4,duration,ap,rolling,0.9016345014150324,0.022265443805043698,0.029996344099030414,0.046103710680893535,1.0,0.0022000460035295696
BPIC15_4,duration,auc,rolling,0.9543534621691614,0.02193592394295326,0.00036644729994463906,0.023344166587940696,1.0,0.0018961250902629647
BPIC15_4,duration,brier_skill,rolling,0.8819011606012249,0.07832632791516853,0.0059524653763120125,0.033820046107294756,1.0000000000000002,0.005811713591418224
BPIC15_4,duration,logloss_skill,rolling,0.8378876276406447,0.11986244752799519,0.006335774263003065,0.03591415056835708,1.0,0.006718359639128223
BPIC15_4,duration,nagelkerke,rolling,0.7560912248351769,0.19051392434337291,0.008466368877586724,0.04492848194386353,1.0,0.03502748702398494
BPIC15_4,handover,ap,rolling,0.8115588401574743,0.13218260891646955,0.011840517449222272,0.044418033476834186,1.0000000000000002,7.075872488411721e-05
BPIC15_4,handover,auc,rolling,0.7101214451098681,0.09598719529416745,0.08844913176006176,0.10544222783590282,1.0,0.0011719927938518033
BPIC15_4,handover,brier_skill,rolling,0.6424363689008799,0.11979811691861464,0.11415948360737747,0.12360603057312816,1.0000000000000002,0.014265338592564712
BPIC15_4,handover,logloss_skill,rolling,0.6406185191575119,0.2739761687379125,0.03286943218212997,0.0525358799224457,1.0,0.026717840911661246
BPIC15_4,handover,nagelkerke,rolling,0.8025677969429117,0.10888866789900387,0.039080891775984616,0.04946264338209978,1.0,9.377213130924972
BPIC15_5,duration,ap,rolling,0.645320138219665,0.18724949374759242,0.07550212262611597,0.09192824540662664,1.0000000000000002,0.0030141434978177917
BPIC15_5,duration,auc,rolling,0.7583034459157795,0.16179905495444674,0.03127877904067278,0.04861872008910091,0.9999999999999999,0.001236917806520268
BPIC15_5,duration,brier_skill,rolling,0.7081121338536679,0.21977713210506436,0.036720169364094724,0.03539056467717273,0.9999999999999997,0.008833673169588161
BPIC15_5,duration,logloss_skill,rolling,0.7075866946388372,0.2140858083106935,0.03577635592430976,0.04255114112615952,0.9999999999999999,0.010833053987695712
BPIC15_5,duration,nagelkerke,rolling,0.7775119646665436,0.18766847346385584,0.007571741523586288,0.02724782034601432,1.0,0.19024518667255425
BPIC17,duration,ap,rolling,0.42790230799709633,0.2657240561450659,0.25847845044572104,0.047895185412116834,1.0000000000000002,0.00010041730128477074
BPIC17,duration,auc,rolling,0.3895943082531485,0.4928381142841986,0.07010587450607193,0.04746170295658102,1.0,0.0001546594584563067
BPIC17,duration,brier_skill,rolling,0.8425829225752867,0.04756670388849148,0.054881735215655335,0.05496863832056677,1.0000000000000002,1.650948067864669e-05
BPIC17,duration,logloss_skill,rolling,0.841127292669612,0.04048767096254534,0.05686111271000126,0.06152392365784165,1.0000000000000002,9.318482957177076e-06
BPIC17,duration,nagelkerke,rolling,0.8417478507154,0.040529110905740545,0.056394583018176694,0.06132845536068281,1.0,3.0805675006562846e-05
BPIC19,duration,ap,rolling,0.5402645243792895,0.37933516344015883,0.04419485006925816,0.036205462111293545,1.0,0.007472447062312706
BPIC19,duration,auc,rolling,0.7454512273909645,0.2199495810051859,0.009037389511821651,0.025561802092028067,1.0,0.010805456675957755
BPIC19,duration,brier_skill,rolling,0.9603127549768692,0.021599353391190353,0.010222569129557263,0.00786532250238323,1.0,0.02591817787446373
BPIC19,duration,logloss_skill,rolling,0.972605898949695,0.009417589910894225,0.011039422008002493,0.006937089131408152,0.9999999999999998,0.023343753277970156
BPIC19,duration,nagelkerke,rolling,0.972494142927539,0.013122004439912722,0.007733820987369572,0.006650031645178847,1.0,0.08635943353205698
