log,target,unit,threshold_measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC15_3,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.0052029307635517155,0.0047775419177577645,11.230999507852397,0.00042538884579395117,0.0052029307635517155,0.00042538884579395117,0.0047775419177577645,0.5351152235812042
BPIC15_3,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,True,0.00042538884579395117,0.0,0.0,0.00042538884579395117,0.0052029307635517155,0.00042538884579395117,0.0047775419177577645,0.5351152235812042
BPIC15_3,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,0.00042538884579395117,0.0,0.0,0.00042538884579395117,0.0052029307635517155,0.00042538884579395117,0.0047775419177577645,0.5351152235812042
BPIC15_3,handover,net benefit (true positives per case),uniform over the declared operating range,one-number,186,False,0.0021395314681885587,0.0,0.0,0.011786196588211633,0.0021395314681885587,0.0021395314681885587,-0.009646665120023074,0.22043010752688166
BPIC15_3,handover,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.0021395314681885587,0.0,0.0,0.011786196588211633,0.0021395314681885587,0.0021395314681885587,-0.009646665120023074,0.22043010752688166
BPIC15_3,handover,net benefit (true positives per case),uniform over the declared operating range,majority,186,False,0.0021395314681885587,0.0,0.0,0.011786196588211633,0.0021395314681885587,0.0021395314681885587,-0.009646665120023074,0.22043010752688166
BPIC15_3,handover,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,False,0.0021395314681885587,0.0,0.0,0.011786196588211633,0.0021395314681885587,0.0021395314681885587,-0.009646665120023074,0.22043010752688166
BPIC15_3,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,False,4.77646503893626e-06,4.776295904844481e-06,28239.699368778685,1.6913409177879102e-10,4.77646503893626e-06,1.6913409177879102e-10,4.7762959048444816e-06,0.0020872279485712854
BPIC15_3,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,4.77646503893626e-06,4.776295904844481e-06,28239.699368778685,1.6913409177879102e-10,4.77646503893626e-06,1.6913409177879102e-10,4.7762959048444816e-06,0.0020872279485712854
BPIC15_3,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,False,4.77646503893626e-06,4.776295904844481e-06,28239.699368778685,1.6913409177879102e-10,4.77646503893626e-06,1.6913409177879102e-10,4.7762959048444816e-06,0.0020872279485712854
BPIC15_3,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,1.6913409177879102e-10,0.0,0.0,1.6913409177879102e-10,4.77646503893626e-06,1.6913409177879102e-10,4.7762959048444816e-06,0.0020872279485712854
BPIC15_4,duration,net benefit (true positives per case),uniform over the declared operating range,one-number,186,False,0.035571784378171475,0.03206325679867969,9.138664602808705,0.003508527579491786,0.035571784378171475,0.003508527579491786,0.03206325679867969,0.4731182795698924
BPIC15_4,duration,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.035571784378171475,0.03206325679867969,9.138664602808705,0.003508527579491786,0.035571784378171475,0.003508527579491786,0.03206325679867969,0.4731182795698924
BPIC15_4,duration,net benefit (true positives per case),uniform over the declared operating range,majority,186,False,0.035571784378171475,0.03206325679867969,9.138664602808705,0.003508527579491786,0.035571784378171475,0.003508527579491786,0.03206325679867969,0.4731182795698924
BPIC15_4,duration,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,True,0.003508527579491786,0.0,0.0,0.003508527579491786,0.035571784378171475,0.003508527579491786,0.03206325679867969,0.4731182795698924
BPIC15_4,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,False,7.719906905010352e-05,7.289832060796304e-05,16.950147535641864,4.300748442140479e-06,7.719906905010352e-05,4.300748442140479e-06,7.289832060796304e-05,0.06924506569454017
