log,target,rung,learner,calibration,arm,n_test,ece,brier,cal_slope,cal_intercept
UCI498,handover,B_intake,hgb,raw,with_f,7476,0.03841036344510109,0.1642051842746028,1.0656178542017807,0.22316090634465785
UCI498,handover,B_intake,hgb,platt,without_f,7476,0.05475076221983628,0.1661934705819799,1.3205746076821139,0.2009904651914465
UCI498,handover,B_intake,hgb,platt,with_f,7476,0.04568236491387202,0.16616766881849646,1.2891842993048712,0.19520191880155835
UCI498,handover,B_intake,hgb,isotonic,without_f,7476,0.042018416140527474,0.16525583692304155,1.2036705826256808,0.1951569478611663
UCI498,handover,B_intake,hgb,isotonic,with_f,7476,0.04165294447666378,0.16571811439552142,1.2014596832423456,0.1889041073588552
UCI498,handover,B_intake_g,logit,raw,without_f,7476,0.04036090557440889,0.06887765303641469,1.2953667881451016,-0.0012113263946292722
UCI498,handover,B_intake_g,logit,raw,with_f,7476,0.03343554545800057,0.07060032765386114,1.2303276407985284,0.016566625432037702
UCI498,handover,B_intake_g,logit,platt,without_f,7476,0.06860053256153814,0.07404899888636123,1.6725508500461908,0.20497097455416366
UCI498,handover,B_intake_g,logit,platt,with_f,7476,0.06648876186204236,0.07558643638654172,1.667545182078372,0.21706519977982933
UCI498,handover,B_intake_g,logit,isotonic,without_f,7476,0.051719777523287803,0.06904171245322778,1.5273131929060801,0.3070580270499678
UCI498,handover,B_intake_g,logit,isotonic,with_f,7476,0.05240250650066425,0.070649950890701,1.554646144913069,0.3033169017979053
UCI498,handover,B_intake_g,hgb,raw,without_f,7476,0.017031759115993306,0.06752570014228748,0.847071738275459,0.025958401780141197
UCI498,handover,B_intake_g,hgb,raw,with_f,7476,0.017051133268122715,0.0675637689015908,0.8312247268536765,0.025879671418164905
UCI498,handover,B_intake_g,hgb,platt,without_f,7476,0.04309315588118032,0.06852854137277999,1.4559580839139923,0.24928618028402252
UCI498,handover,B_intake_g,hgb,platt,with_f,7476,0.04065768073966036,0.06903466212323534,1.4507208172826271,0.2398815538653062
UCI498,handover,B_intake_g,hgb,isotonic,without_f,7476,0.03977054985977521,0.06810513457671524,1.4378694616346064,0.3212700019086627
UCI498,handover,B_intake_g,hgb,isotonic,with_f,7476,0.039214249702322915,0.06828413251459411,1.4227192847487726,0.31151602805737094
UCI498,duration,B_half,logit,raw,without_f,7476,0.13914479342516795,0.22335801827214719,0.8135524506881155,-0.6140981525808203
UCI498,duration,B_half,logit,raw,with_f,7476,0.13984368957704446,0.22519423516811884,0.5344803820210218,-0.6593484234103002
UCI498,duration,B_half,logit,platt,without_f,7476,0.20452858654510767,0.24623125757679362,-1.498615111865652,-0.8773680054380003
UCI498,duration,B_half,logit,platt,with_f,7476,0.1919336396856341,0.2377099649908786,1.1567698431060507,-0.838729974452061
UCI498,duration,B_half,logit,isotonic,without_f,7476,0.2123218534892373,0.24922719284385073,0.5731953110252234,-0.9091676986951504
UCI498,duration,B_half,logit,isotonic,with_f,7476,0.18122745458031192,0.23370454767985993,0.9615537849452425,-0.8032279954826369
UCI498,duration,B_half,hgb,raw,without_f,7476,0.13665153614482944,0.22207836615794005,1.0262190517215959,-0.6056373149398827
UCI498,duration,B_half,hgb,raw,with_f,7476,0.14529007640037933,0.2223200886635384,0.8650757255600778,-0.6574756598435723
UCI498,duration,B_half,hgb,platt,without_f,7476,0.21393173792695255,0.24964629041353587,10.210331687196264,-0.9148174478654427
UCI498,duration,B_half,hgb,platt,with_f,7476,0.21172423557815634,0.24606344308046507,2.080649142458726,-0.9104432386698094
UCI498,duration,B_half,hgb,isotonic,without_f,7476,0.21308315945236148,0.24955120923868063,0.562157450077622,-0.9119664754731459
UCI498,duration,B_half,hgb,isotonic,with_f,7476,0.20509182702532816,0.24232759847778848,1.647794177121509,-0.889352247284175
UCI498,duration,B_intake,logit,raw,without_f,7476,0.11138589694003324,0.1838891005732614,0.8991859537466111,-0.5894711983883774
UCI498,duration,B_intake,logit,raw,with_f,7476,0.09896057202213439,0.18234077711217136,0.8017491944180362,-0.5788894791395206
UCI498,duration,B_intake,logit,platt,without_f,7476,0.1597609395671666,0.19937212213259511,1.240032049497664,-0.7807048405265798
UCI498,duration,B_intake,logit,platt,with_f,7476,0.16956816867665925,0.20186942011669654,1.4120165992771136,-0.809105786766095
UCI498,duration,B_intake,logit,isotonic,without_f,7476,0.1404102345129519,0.19151816935522895,1.0748151660991971,-0.7397924981799857
UCI498,duration,B_intake,logit,isotonic,with_f,7476,0.15965769809442476,0.19648343302294513,1.3134046197638662,-0.7870100225969603
UCI498,duration,B_intake,hgb,raw,without_f,7476,0.10034704610487502,0.18087792945886358,0.9161555596234966,-0.5738474644615454
UCI498,duration,B_intake,hgb,raw,with_f,7476,0.09487360066234328,0.17433310507289926,0.9883887231436699,-0.5431111786262872
UCI498,duration,B_intake,hgb,platt,without_f,7476,0.19158446642034052,0.20923212742992514,1.8790828632218068,-0.8814646284471646
UCI498,duration,B_intake,hgb,platt,with_f,7476,0.1875972347922444,0.20515730394127613,1.844722538227254,-0.8717358965038741
UCI498,duration,B_intake,hgb,isotonic,without_f,7476,0.1767054056859792,0.1988059876234463,1.451560277375524,-0.867058741631122
UCI498,duration,B_intake,hgb,isotonic,with_f,7476,0.17614600948561002,0.19754059882589228,1.5028178776795305,-0.8617301055793117
