pair,b_lo,b_hi,instrument,population,regime,V_lo,R
empty -> B0+g,empty,B0+g,nb_0.450,0.75,rare-first,0.0086019687650354,-0.266061980347726
B0_half -> B0,B0_half,B0,nb_0.450,0.75,rare-first,0.0085174445065733,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.450,0.75,rare-first,0.0085174445065733,-0.27862595419849323
B0 -> B0+g,B0,B0+g,nb_0.450,0.75,rare-first,0.0085174445065733,-0.27862595419849323
empty -> B0_half,empty,B0_half,nb_0.450,1.0,full,0.0088685452724932,-0.02126099706742446
empty -> B0,empty,B0,nb_0.450,1.0,full,0.0088685452724932,-0.02126099706742446
empty -> B0+g,empty,B0+g,nb_0.450,1.0,full,0.0088685452724932,-0.38782991202347006
B0_half -> B0,B0_half,B0,nb_0.450,1.0,full,0.009057099387524,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.450,1.0,full,0.009057099387524,-0.3589375448672347
B0 -> B0+g,B0,B0+g,nb_0.450,1.0,full,0.009057099387524,-0.3589375448672347
empty -> B0_half,empty,B0_half,nb_0.475,0.5,random,0.0048838302307047,0.0746164574616709
empty -> B0,empty,B0,nb_0.475,0.5,random,0.0048838302307047,0.0878661087866236
empty -> B0+g,empty,B0+g,nb_0.475,0.5,random,0.0048838302307047,-0.7105997210599684
B0_half -> B0,B0_half,B0,nb_0.475,0.5,random,0.0045194161200453,0.014318010550099958
B0_half -> B0+g,B0_half,B0+g,nb_0.475,0.5,random,0.0045194161200453,-0.8485305199699031
B0 -> B0+g,B0,B0+g,nb_0.475,0.5,random,0.0044547070723582,-0.8753822629969641
empty -> B0_half,empty,B0_half,nb_0.475,0.5,rare-first,0.0073870486543923,0.019363762102358573
empty -> B0,empty,B0,nb_0.475,0.5,rare-first,0.0073870486543923,0.019363762102358573
empty -> B0+g,empty,B0+g,nb_0.475,0.5,rare-first,0.0073870486543923,-0.18579990779160638
B0_half -> B0,B0_half,B0,nb_0.475,0.5,rare-first,0.0072440076016101,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.475,0.5,rare-first,0.0072440076016101,-0.20921485660555406
B0 -> B0+g,B0,B0+g,nb_0.475,0.5,rare-first,0.0072440076016101,-0.20921485660555406
empty -> B0_half,empty,B0_half,nb_0.475,0.75,rare-first,0.0099890335192865,0.007841800204560267
empty -> B0,empty,B0,nb_0.475,0.75,rare-first,0.0099890335192865,0.007841800204560267
