world,estimand,interval,coverage,n,mean_width,bias,rmse,truth,mean_estimate,median_shift
sparse,V_oracle,naive,0.6,200,0.029964678963694247,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-4.3207172487504106e-05
sparse,V_oracle,nested,0.395,200,0.03400725485684108,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-0.006950151294363681
sparse,V_oracle,naive_pct,0.6,200,0.029964678963694247,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-4.3207172487504106e-05
sparse,V_oracle,naive_basic,0.625,200,0.029964678963694247,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-4.3207172487504106e-05
sparse,V_oracle,naive_bc,0.605,200,0.030066276777861743,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-4.3207172487504106e-05
sparse,V_oracle,nested_pct,0.395,200,0.03400725485684108,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-0.006950151294363681
sparse,V_oracle,nested_basic,0.915,200,0.03400725485684108,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-0.006950151294363681
sparse,V_oracle,nested_bc,0.625,200,0.026421643879553532,-0.012273284536863365,0.014662655124828552,0.09148891802160597,0.0792156334847426,-0.006950151294363681
sparse,V_limit,naive,0.635,200,0.029964678963694247,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-4.3207172487504106e-05
sparse,V_limit,nested,0.42,200,0.03400725485684108,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-0.006950151294363681
sparse,V_limit,naive_pct,0.635,200,0.029964678963694247,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-4.3207172487504106e-05
sparse,V_limit,naive_basic,0.66,200,0.029964678963694247,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-4.3207172487504106e-05
sparse,V_limit,naive_bc,0.65,200,0.030066276777861743,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-4.3207172487504106e-05
sparse,V_limit,nested_pct,0.42,200,0.03400725485684108,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-0.006950151294363681
sparse,V_limit,nested_basic,0.925,200,0.03400725485684108,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-0.006950151294363681
sparse,V_limit,nested_bc,0.675,200,0.026421643879553532,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426,-0.006950151294363681
