log,target,metric,scale,axis,S,S_total,levels,var_total,n_cells
BPIC13_closed,handover,nb_0.400,raw,learner,0.0009239721349108269,0.2866196783177928,2,0.0008333578563088103,216
BPIC13_closed,handover,nb_0.400,raw,split,0.1764623104466748,0.9343020669948225,6,0.0008333578563088103,216
BPIC13_closed,handover,nb_0.400,raw,quality_level,0.006007174176621778,0.3177944123150811,6,0.0008333578563088103,216
BPIC13_closed,handover,nb_0.400,raw,rung,1.908748361803616e-05,0.6417011090661577,3,0.0008333578563088103,216
BPIC13_closed,handover,nb_0.425,raw,learner,0.003763442377029214,0.4464810648756957,2,0.0007805635935458751,216
BPIC13_closed,handover,nb_0.425,raw,split,0.1675375046196549,0.9084129404719514,6,0.0007805635935458751,216
BPIC13_closed,handover,nb_0.425,raw,quality_level,0.005709069324620767,0.3976143748862141,6,0.0007805635935458751,216
BPIC13_closed,handover,nb_0.425,raw,rung,0.027444803882715973,0.6093750821062148,3,0.0007805635935458751,216
BPIC13_closed,handover,nb_0.450,raw,learner,8.924548273653142e-06,0.45397139500559947,2,0.0008053935244754086,216
BPIC13_closed,handover,nb_0.450,raw,split,0.21430015569209557,0.9114373012231305,6,0.0008053935244754086,216
BPIC13_closed,handover,nb_0.450,raw,quality_level,0.0076721798640223314,0.4293133542186355,6,0.0008053935244754086,216
BPIC13_closed,handover,nb_0.450,raw,rung,0.0033277546579762634,0.5393736809121858,3,0.0008053935244754086,216
BPIC13_closed,handover,nb_0.475,raw,learner,0.00949799322854119,0.2984489247286961,2,0.0011398362995416102,216
BPIC13_closed,handover,nb_0.475,raw,split,0.2903054052020821,0.8947741711628207,6,0.0011398362995416102,216
BPIC13_closed,handover,nb_0.475,raw,quality_level,0.013853866916498573,0.350159699979953,6,0.0011398362995416102,216
BPIC13_closed,handover,nb_0.475,raw,rung,0.011679080619246753,0.5146685885831173,3,0.0011398362995416102,216
BPIC13_closed,handover,nb_0.500,raw,learner,0.00022827630244781513,0.2603545893170176,2,0.0018208942432155891,216
BPIC13_closed,handover,nb_0.500,raw,split,0.34979619630594755,0.8706525849000741,6,0.0018208942432155891,216
