log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,sim_lo,sim_hi,sim_resolved
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.750,0.03525961951079959,0.006808631256674158,4.311125661637676,0.005906754579523249,0.06461248444207593,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.775,0.04760883040099184,0.007053234727224166,4.311125661637676,0.017201449170901727,0.07801621163108195,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.800,0.060148762694893554,0.021807898943592474,4.311125661637676,-0.03386783006722913,0.15416535545701623,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,scalars,5,ap,0.017903744877079464,0.002036374031829179,2.3985024451913066,0.013019496782413098,0.02278799297174583,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,scalars,5,auc,0.14255615868730986,0.013303578355195349,2.3985024451913066,0.11064749347257968,0.17446482390204004,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,scalars,5,brier_skill,0.19927539652268367,0.019600370925282856,2.3985024451913066,0.15226385893173613,0.2462869341136312,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,scalars,5,logloss_skill,0.2327000589765783,0.019511779725906373,2.3985024451913066,0.18590100759395772,0.2794991103591989,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,scalars,5,nagelkerke,0.25719226108823456,0.021378577951019696,2.3985024451913066,0.20591568959800088,0.30846883257846824,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.050,0.0,0.000131209129659439,3.954341975808485,-0.0005188457690216177,0.0005188457690216177,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.075,0.0,0.00020821622309030204,3.954341975808485,-0.0008233581510102853,0.0008233581510102853,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.100,0.0,0.0003331953402798058,3.954341975808485,-0.0013175683202122277,0.0013175683202122277,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.125,-2.0434436111771426e-05,0.0004911647099265905,3.954341975808485,-0.001962667665610287,0.0019217987933867438,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.150,5.048507745253339e-05,0.0006800876761887709,3.954341975808485,-0.002638814167730772,0.002739784322635839,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.175,0.001070640607187423,0.0007347035326314544,3.954341975808485,-0.0018346284116719162,0.003975909626046763,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.200,0.0012337290802459933,0.000731674182571244,3.954341975808485,-0.001659560852510838,0.0041270190130028245,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.225,0.0012112347211390428,0.0008417509442498581,3.954341975808485,-0.002117336370884599,0.004539805813162685,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.250,0.001978734563486295,0.0009236997344337593,3.954341975808485,-0.0016738900694282695,0.00563135919640086,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.275,0.003714134922239931,0.0010045609947328966,3.954341975808485,-0.0002582427864922885,0.007686512630972151,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.300,0.004403620982079026,0.0010520904131743087,3.954341975808485,0.0002432956989181648,0.008563946265239888,True
