log,target,admitted,threshold,excess_one_number_per_1000,excess_majority_per_1000,excess_uniform_per_1000,share_positive
BPIC15_4,handover,True,0.35,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.375,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.4,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.425,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.45,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.475,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.5,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.525,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.55,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.575,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.6,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.625,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.65,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.675,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.7,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.725,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.75,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.775,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.8,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.05,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.075,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.1,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.125,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.15,0.0,0.0,0.0,0.3333333333333333
BPIC17,duration,True,0.175,0.0,0.0,0.0,0.16666666666666666
BPIC17,duration,True,0.2,0.00881554356641418,0.00881554356641418,0.00881554356641418,0.3333333333333333
BPIC17,duration,True,0.225,0.0,0.0,0.0,0.3333333333333333
BPIC17,duration,True,0.25,0.0,0.0,0.0,0.16666666666666666
BPIC17,duration,True,0.275,0.0,0.0,0.0,0.3333333333333333
BPIC17,duration,True,0.3,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.325,0.0,0.018937093587131817,0.018937093587131817,0.5
BPIC17,duration,True,0.35,0.0,0.0,0.0,0.16666666666666666
BPIC17,duration,True,0.375,0.22215169787373315,0.22215169787373315,0.22215169787373315,0.3333333333333333
BPIC17,duration,True,0.4,0.0,0.0,0.0,0.3333333333333333
BPIC17,duration,True,0.425,0.016097949121277846,0.0,0.0,0.5
BPIC17,duration,True,0.45,0.0,0.0,0.0,0.5
BPIC17,duration,True,0.475,0.24683521985968335,0.0,0.0,0.5
BPIC17,duration,True,0.5,0.0,0.0,0.0,0.9999999999999999
BPIC17,duration,True,0.525,0.0,0.0,0.0,0.9999999999999999
BPIC17,duration,True,0.55,0.0,0.0,3.982666682338699,0.8333333333333333
BPIC17,duration,True,0.575,0.0,2.730744260044016,2.730744260044016,0.5
BPIC17,duration,True,0.6,0.8639232695088161,0.8639232695088161,0.8639232695088161,0.3333333333333333
BPIC17,duration,True,0.625,0.0,0.18218790037259994,0.18218790037259994,0.5
BPIC17,duration,True,0.65,0.0,0.0,0.0,0.3333333333333333
BPIC17,duration,True,0.675,0.0,0.7893302085621935,0.7893302085621935,0.5
BPIC17,duration,True,0.7,0.0,0.875677327597333,0.875677327597333,0.5
BPIC17,duration,True,0.725,0.6138823974431833,0.6138823974431833,0.6138823974431833,0.3333333333333333
BPIC17,duration,True,0.75,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.775,0.0,0.0,0.0,0.0
BPIC17,duration,True,0.8,0.0,0.0,0.0,0.16666666666666666
Helpdesk,duration,True,0.05,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.075,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.1,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.125,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.15,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.175,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.2,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.225,0.0,0.02347748509178333,0.02347748509178333,0.5
Helpdesk,duration,True,0.25,0.0,0.0,0.20216723273490741,0.6666666666666666
Helpdesk,duration,True,0.275,0.0,0.0,0.0,0.16666666666666666
Helpdesk,duration,True,0.3,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.325,0.0,0.0,0.0,0.3333333333333333
Helpdesk,duration,True,0.35,0.0,0.0,0.0,0.3333333333333333
Helpdesk,duration,True,0.375,0.33964095099466624,0.33964095099466624,0.33964095099466624,0.16666666666666666
Helpdesk,duration,True,0.4,0.0,0.0,2.9516415979298,0.6666666666666666
Helpdesk,duration,True,0.425,0.0,0.0,1.6876568993523786,0.6666666666666666
Helpdesk,duration,True,0.45,0.0,0.0,0.0,0.16666666666666666
Helpdesk,duration,True,0.475,0.0,0.0,0.0,0.16666666666666666
Helpdesk,duration,True,0.5,1.4556040756914173,1.4556040756914173,1.4556040756914173,0.5
Helpdesk,duration,True,0.525,0.0,0.4979698153680994,0.4979698153680994,0.5
Helpdesk,duration,True,0.55,0.0,0.0,0.0,0.5
Helpdesk,duration,True,0.575,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.6,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.625,0.0,0.0,0.0,0.0
Helpdesk,duration,True,0.65,0.0,0.0,0.0,0.16666666666666666
Helpdesk,duration,True,0.675,0.0,0.0,0.0,0.16666666666666666
Helpdesk,duration,True,0.7,0.0,0.0,0.0,0.5
Helpdesk,duration,True,0.725,0.0,4.951259318071534,4.951259318071534,0.5
Helpdesk,duration,True,0.75,0.0,0.0,20.621057738961646,0.8333333333333333
Helpdesk,duration,True,0.775,0.0,0.0,39.368699121246436,0.8333333333333333
Helpdesk,duration,True,0.8,0.0,0.0,0.0,0.9999999999999999
RoadFines,duration,True,0.05,0.0,0.0,0.0,0.0
RoadFines,duration,True,0.075,0.0,0.0,0.0,0.0
