term,order,share,variance,log,target,metric,total_variance
family x split,2,0.0029696548395825592,8.317703439482321e-06,BPIC14,duration,brier_skill,0.0028008990568922586
encoding x quality_level,2,0.007307342111731173,2.0467127629136927e-05,BPIC14,duration,brier_skill,0.0028008990568922586
encoding x rung,2,0.056842361882394915,0.00015920971778792838,BPIC14,duration,brier_skill,0.0028008990568922586
encoding x split,2,0.005229602733788168,1.4647589364988457e-05,BPIC14,duration,brier_skill,0.0028008990568922586
quality_level x rung,2,0.01159234960167433,3.246900106649498e-05,BPIC14,duration,brier_skill,0.0028008990568922586
quality_level x split,2,0.007640001017560463,2.1398871644740998e-05,BPIC14,duration,brier_skill,0.0028008990568922586
rung x split,2,0.006102501755871279,1.709249141270322e-05,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding x quality_level,3,0.008539148921414035,2.3917294160651117e-05,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding x rung,3,0.032558356681839706,9.11926705241266e-05,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding x split,3,0.0020754365518321225,5.813088280666313e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family x quality_level x rung,3,0.0007041338503217316,1.9722078372920526e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family x quality_level x split,3,0.00020564436935665233,5.759891201862508e-07,BPIC14,duration,brier_skill,0.0028008990568922586
family x rung x split,3,0.0009697361239261611,2.716132994939139e-06,BPIC14,duration,brier_skill,0.0028008990568922586
encoding x quality_level x rung,3,0.0025696289301902872,7.197271247133039e-06,BPIC14,duration,brier_skill,0.0028008990568922586
encoding x quality_level x split,3,0.004007684497896376,1.1225119730479685e-05,BPIC14,duration,brier_skill,0.0028008990568922586
encoding x rung x split,3,0.002136687374136619,5.984645651092853e-06,BPIC14,duration,brier_skill,0.0028008990568922586
quality_level x rung x split,3,0.0007154598966587505,2.0039309497957272e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding x quality_level x rung,4,0.0008248721705066126,2.3103836844286415e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding x quality_level x split,4,0.0036056887705208213,1.0099170276798776e-05,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding x rung x split,4,0.0009764703429093805,2.734994862538144e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family x quality_level x rung x split,4,0.0002922389929527256,8.185319197484325e-07,BPIC14,duration,brier_skill,0.0028008990568922586
encoding x quality_level x rung x split,4,0.0004783323462582615,1.339760617515826e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding x quality_level x rung x split,5,0.0007431467153864277,2.081478934258425e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family,1,0.07393039043493145,0.00013208285985621485,BPIC14,duration,logloss_skill,0.001786584097272762
encoding,1,0.0995948377621723,0.0001779345533163578,BPIC14,duration,logloss_skill,0.001786584097272762
