target,learner,mechanism,meaning,metric,n_levels,n_seeds,integral_fine,integral_coarse,grid_shift,V_at_clean,V_at_half,V_at_empty,seed_sd_median,seed_sd_max,n_sign_changes
handover,logit,mask_common,population: the core identities are absent,nagelkerke,11,1,0.1460286104620458,0.10980659243647872,0.03622201802556707,0.2664938725548428,0.11779423278981882,0.00328252784919289,0.0,0.0,0
handover,logit,mask_random,population: absent independently of everything,ap,11,20,0.010803570114307813,0.008972732033588707,0.0018308380807191063,0.018701821616368797,0.011838851308094468,1.676431816433066e-05,0.0004508804495616856,0.0006074125755694554,0
handover,logit,mask_random,population: absent independently of everything,auc,11,20,0.08771940605066098,0.07173454710031832,0.015984858950342656,0.16727153256753435,0.09251257179366415,0.0001665439154376891,0.0040282884556998915,0.005950375481232385,0
handover,logit,mask_random,population: absent independently of everything,brier_skill,11,20,0.11446046873110444,0.09048838068376547,0.02397208804733897,0.24739517453404947,0.10934255826247356,0.0007677072901078885,0.006110714177898705,0.007947319645760845,0
handover,logit,mask_random,population: absent independently of everything,logloss_skill,11,20,0.11051103058817113,0.08711514237721833,0.0233958882109528,0.24099425953417297,0.10584249196091841,-8.590313719691878e-06,0.004808255654253096,0.005883258366983248,1
handover,logit,mask_random,population: absent independently of everything,nagelkerke,11,20,0.12446524926972855,0.0985467362707021,0.02591851299902645,0.2664938725548428,0.12048307588407721,-1.0006232407155924e-05,0.005175690625079292,0.006543338673052352,1
handover,logit,mask_rare,population: the long tail of identities is absent,ap,11,1,0.01177212351900311,0.010069645878916678,0.0017024776400864326,0.018701821616368797,0.013488198923504835,0.0014835766143959095,0.0,0.0,0
handover,logit,mask_rare,population: the long tail of identities is absent,auc,11,1,0.09180358466515781,0.07574579768015982,0.01605778698499799,0.16727153256753435,0.10388245871765522,0.013613927891818811,0.0,0.0,0
handover,logit,mask_rare,population: the long tail of identities is absent,brier_skill,11,1,0.11910181584819904,0.06494830043335079,0.05415351541484825,0.24739517453404947,0.18382073984161817,0.003927301201936406,0.0,0.0,2
handover,logit,mask_rare,population: the long tail of identities is absent,logloss_skill,11,1,0.11477771697853731,0.07324620926338463,0.04153150771515268,0.24099425953417297,0.16247899822801182,0.0028197731737181764,0.0,0.0,0
handover,logit,mask_rare,population: the long tail of identities is absent,nagelkerke,11,1,0.12829781530431547,0.08242620207212563,0.04587161323218984,0.2664938725548428,0.18272190038966857,0.00328252784919289,0.0,0.0,0
handover,logit,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,ap,11,20,0.00754686705051091,0.006528841935321404,0.001018025115189506,0.012405503858118228,0.00865438439517759,1.676431816433066e-05,0.0003482301521048796,0.0010735696851584236,0
handover,logit,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,auc,11,20,0.06943499989035366,0.05984890930528076,0.009586090585072905,0.11890050937150318,0.07890716371958352,0.0001665439154376891,0.003920161138254236,0.011422263130385406,0
handover,logit,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,brier_skill,11,20,0.11692828218643346,0.09656314983940155,0.02036513234703191,0.19722638535723136,0.12232952311139271,0.0007677072901078885,0.004258577701839012,0.006658348643159421,0
handover,logit,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,logloss_skill,11,20,0.10042469764087336,0.08256894128276536,0.017855756358108002,0.17398898485335845,0.10381248186489159,-8.590313719691878e-06,0.0029909939404712126,0.004293136112006144,1
handover,logit,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,nagelkerke,11,20,0.11361893248174432,0.09359319835952155,0.020025734122222763,0.19518160404493862,0.11822883460763087,-1.0006232407155924e-05,0.003429367105480638,0.004829518156575804,1
handover,logit,time,discovery: the register was populated late,ap,11,1,0.011779472587657524,0.012356367908008148,0.0005768953203506236,0.01855679069559457,0.017359416619569634,1.676431816433066e-05,0.0,0.0,0
handover,logit,time,discovery: the register was populated late,auc,11,1,0.1051242456133558,0.11023490890857837,0.00511066329522257,0.16708300999184478,0.15493518221445313,0.0001665439154376891,0.0,0.0,0
handover,logit,time,discovery: the register was populated late,brier_skill,11,1,0.16294615983186944,0.17918298921604778,0.016236829384178336,0.25279986241075836,0.2537965700865684,0.0007677072901078885,0.0,0.0,2
handover,logit,time,discovery: the register was populated late,logloss_skill,11,1,0.1477106663690294,0.1567437019808789,0.009033035611849483,0.23954586140007283,0.2244844509432714,-8.590313719691878e-06,0.0,0.0,1
handover,logit,time,discovery: the register was populated late,nagelkerke,11,1,0.16356023054298965,0.17444362314718798,0.010883392604198322,0.26497428073094076,0.24911564032463762,-1.0006232407155924e-05,0.0,0.0,1
