term,order,share,variance,log,target,metric,total_variance
family x quality_level,2,0.014249950235507486,1.2277957118518197e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x rung,2,0.02363152448776868,2.036125316305033e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x split,2,0.01226784038987456,1.05701434569495e-05,BPIC13_closed,handover,auc,0.0008616140348283077
encoding x quality_level,2,0.037809031101071734,3.257679183994339e-05,BPIC13_closed,handover,auc,0.0008616140348283077
encoding x rung,2,0.005515004270794027,4.7518050818541905e-06,BPIC13_closed,handover,auc,0.0008616140348283077
encoding x split,2,0.08394751443867404,7.233035662931356e-05,BPIC13_closed,handover,auc,0.0008616140348283077
quality_level x rung,2,0.014438095323194006,1.2440065566652906e-05,BPIC13_closed,handover,auc,0.0008616140348283077
quality_level x split,2,0.024438190332935796,2.1056287776662956e-05,BPIC13_closed,handover,auc,0.0008616140348283077
rung x split,2,0.014212185358933083,1.2245418370838135e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding x quality_level,3,0.005033280569041042,4.336745179514373e-06,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding x rung,3,0.03346641079801951,2.883512923890323e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding x split,3,0.026655063145578892,2.296637650546555e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x quality_level x rung,3,0.012067023185792216,1.0397116535477171e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x quality_level x split,3,0.01465515096535516,1.2627083754277629e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x rung x split,3,0.02733652731023239,2.3553535593963555e-05,BPIC13_closed,handover,auc,0.0008616140348283077
encoding x quality_level x rung,3,0.021172048817984734,1.8242134407645728e-05,BPIC13_closed,handover,auc,0.0008616140348283077
encoding x quality_level x split,3,0.015792834299368563,1.3607327682053838e-05,BPIC13_closed,handover,auc,0.0008616140348283077
encoding x rung x split,3,0.1261733983204905,0.00010871277081491703,BPIC13_closed,handover,auc,0.0008616140348283077
quality_level x rung x split,3,0.01202319791290758,1.0359356065279588e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding x quality_level x rung,4,0.018500924717149,1.5940656393597516e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding x quality_level x split,4,0.02231463352019547,1.9226601423050622e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding x rung x split,4,0.12876607721543126,0.00011094665933860115,BPIC13_closed,handover,auc,0.0008616140348283077
family x quality_level x rung x split,4,0.014970468648357662,1.2898765895382127e-05,BPIC13_closed,handover,auc,0.0008616140348283077
encoding x quality_level x rung x split,4,0.03312924922264873,2.854462609355895e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding x quality_level x rung x split,5,0.032445635534482216,2.7955614945433936e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family,1,0.23419663986446992,0.0019134323682159912,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding,1,0.0030724155327093786,2.5102236019687604e-05,BPIC13_closed,handover,brier_skill,0.008170195649789418
quality_level,1,0.015513490673449934,0.00012674825401326936,BPIC13_closed,handover,brier_skill,0.008170195649789418
rung,1,0.026443290812507084,0.00021604685956246186,BPIC13_closed,handover,brier_skill,0.008170195649789418
split,1,0.03957197249009868,0.00032331075749219076,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding,2,0.0008244586286570548,6.735988301285219e-06,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x quality_level,2,0.07016573594392625,0.0005732677905733392,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x rung,2,0.0325305592988573,0.00026578103406874065,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x split,2,0.0033771080140293504,2.759163320509158e-05,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding x quality_level,2,0.03215882080953794,0.0002627438578804443,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding x rung,2,0.03873173386666211,0.00031644584354620424,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding x split,2,0.02595612273154821,0.0002120666010266954,BPIC13_closed,handover,brier_skill,0.008170195649789418
quality_level x rung,2,0.014550829763765519,0.00011888312603674344,BPIC13_closed,handover,brier_skill,0.008170195649789418
quality_level x split,2,0.054197522589333656,0.00044280436328873756,BPIC13_closed,handover,brier_skill,0.008170195649789418
rung x split,2,0.04543311671449444,0.00037119745253713735,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding x quality_level,3,0.016725603318012316,0.0001366514514689277,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding x rung,3,0.05138930775713903,0.0004198606986830669,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding x split,3,0.006536302380790283,5.340286927724099e-05,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x quality_level x rung,3,0.017536066576267825,0.000143273094855841,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x quality_level x split,3,0.012665102969224034,0.00010347636918328924,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x rung x split,3,0.04181200834438087,0.0003416122886842194,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding x quality_level x rung,3,0.03577348093901141,0.00029227633834573566,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding x quality_level x split,3,0.018577878075615773,0.0001517848986357142,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding x rung x split,3,0.03536805086991156,0.00028896389535888224,BPIC13_closed,handover,brier_skill,0.008170195649789418
quality_level x rung x split,3,0.0075502473444253445,6.168699800825806e-05,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding x quality_level x rung,4,0.02106814412114656,0.00017213085944772812,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding x quality_level x split,4,0.011411626419900091,9.323522053288972e-05,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding x rung x split,4,0.03188618110802814,0.0002605163381772091,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x quality_level x rung x split,4,0.005101127254800433,4.1677207706192734e-05,BPIC13_closed,handover,brier_skill,0.008170195649789418
encoding x quality_level x rung x split,4,0.02109047753707738,0.00017231332782541105,BPIC13_closed,handover,brier_skill,0.008170195649789418
family x encoding x quality_level x rung x split,5,0.0287845772502221,0.00023517562783079206,BPIC13_closed,handover,brier_skill,0.008170195649789418
family,1,0.22450296822810317,0.009355321426897498,BPIC13_closed,handover,logloss_skill,0.04167125940799211
encoding,1,0.017753324523551984,0.0007398033915752026,BPIC13_closed,handover,logloss_skill,0.04167125940799211
quality_level,1,0.01009317326289247,0.00042059524128780225,BPIC13_closed,handover,logloss_skill,0.04167125940799211
