log,domain,target,f_rule,g_rule,instrument,base,with_f,base_g,with_gf,naive,honest,reduction
Helpdesk,itsm,duration,amended,alt,nb_0.3,0.20336868371802871,0.18215845290081098,0.20336868371802871,0.18215845290081098,-0.021210230817217735,-0.021210230817217735,
Helpdesk,itsm,duration,amended,alt,nb_0.4,0.13294517224648228,0.13148956817079088,0.1334303736050461,0.13148956817079088,-0.0014556040756913968,-0.001940805434255205,
Helpdesk,itsm,duration,amended,alt,nb_0.5,0.09388646288209607,0.07787481804949054,0.09388646288209607,0.07787481804949054,-0.01601164483260553,-0.01601164483260553,
BPIC13_incidents,itsm,handover,registered,primary,auc,0.816850835090582,0.8598965718026574,0.8295762207257739,0.8668263268186289,0.043045736712075455,0.03725010609285506,0.1346388995032478
BPIC13_incidents,itsm,handover,registered,primary,ap,0.8825926038977638,0.9181965435732169,0.9009694216714617,0.9208243541026017,0.035603939675453056,0.019854932431140004,0.44233889248978586
BPIC13_incidents,itsm,handover,registered,primary,brier_skill,0.24460274141058058,0.35023742355841336,0.30141022939782347,0.37784926483695,0.10563468214783278,0.07643903543912656,0.27638315480372
BPIC13_incidents,itsm,handover,registered,primary,nagelkerke,0.3912461665599167,0.5030174134949433,0.4387137705897918,0.516959507794555,0.11177124693502666,0.07824573720476324,0.29994753256847895
BPIC13_incidents,itsm,handover,registered,primary,nb_0.2,0.5197397441552712,0.5216144684605205,0.5197397441552712,0.5216144684605205,0.0018747243052492646,0.0018747243052492646,0.0
BPIC13_incidents,itsm,handover,registered,primary,nb_0.3,0.4523914550381246,0.4574327304808116,0.45415590144306506,0.46644401033461463,0.00504127544268701,0.012288108891549576,-1.4374999999999978
BPIC13_incidents,itsm,handover,registered,primary,nb_0.4,0.3587707690045581,0.38523746507866485,0.37773856785766796,0.4062637847375386,0.026466696074106733,0.02852521687987064,-0.07777777777777972
BPIC13_incidents,itsm,handover,registered,primary,nb_0.5,0.22849580943978826,0.3153947948831054,0.3180414644905161,0.3625937362152625,0.08689898544331714,0.04455227172474635,0.4873096446700508
BPIC13_incidents,itsm,handover,registered,alt,auc,0.816850835090582,0.8598965718026574,0.8168557696419818,0.8597304419055264,0.043045736712075455,0.04287467226354458,0.0039740160489084575
BPIC13_incidents,itsm,handover,registered,alt,ap,0.8825926038977638,0.9181965435732169,0.8826319503214805,0.9178984911020703,0.035603939675453056,0.03526654078058988,0.009476448335176468
