log,target,metric,split_set,S_learner,S_quality,S_rung,largest_first_order,largest_first_order_axis,interaction_total,var_foldavg,var_pooled,var_ratio,n_folds
BPIC14,duration,logloss_skill,rolling,0.2763021365381957,0.16470373161528584,0.3543879404290541,0.3543879404290541,rung,0.2046061914174644,0.0018443019409237558,0.0019470736825032795,0.9472173331173611,5
BPIC14,duration,nagelkerke,rolling,0.2725528847265249,0.16130751122216294,0.3615394389024775,0.3615394389024775,rung,0.20460016514883472,0.004850030377628235,0.005132292374274202,0.9450027441809794,5
BPIC14,handover,ap,rolling,0.4820718511956108,0.03416035486784662,0.27805228332792814,0.4820718511956108,learner,0.20571551060861448,0.00021786975183921655,0.00022991291203809498,0.947618600051123,5
BPIC14,handover,auc,rolling,0.37807012479978647,0.07360728852430828,0.33577241525942053,0.37807012479978647,learner,0.2125501714164847,0.009349102195669267,0.009731138315107725,0.960740860208991,5
BPIC14,handover,brier_skill,rolling,0.30673651230074805,0.16293765197022905,0.3052409888622678,0.30673651230074805,learner,0.22508484686675512,0.010200968318639377,0.010570102130285818,0.9650775548716046,5
BPIC14,handover,logloss_skill,rolling,0.32219457735939955,0.13789760533372905,0.32019018350644307,0.32219457735939955,learner,0.2197176338004283,0.012938428017527186,0.013514380551086766,0.9573822469048895,5
BPIC14,handover,nagelkerke,rolling,0.3228784623170164,0.12987830020348518,0.3287599785697225,0.3287599785697225,rung,0.21848325890977593,0.01720662587192765,0.01783522529004338,0.9647551736581287,5
BPIC15_1,duration,ap,rolling,0.035005432104834686,0.3865858082562095,0.21504136499412174,0.3865858082562095,quality_level,0.36336739464483414,0.0005077603844929319,0.0021384071329400454,0.23744794743310835,5
BPIC15_1,duration,auc,rolling,0.1107413083867293,0.025732855396178863,0.20861420888255064,0.20861420888255064,rung,0.6549116273345412,0.0006464630535666147,0.002172715155065139,0.29753695603381264,5
BPIC15_1,duration,brier_skill,rolling,0.027110189017385166,0.21379155714383813,0.2586155837346888,0.2586155837346888,rung,0.5004826701040879,0.0009328920071036726,0.007081359555834352,0.1317391102299078,5
BPIC15_1,duration,logloss_skill,rolling,0.3319723990951928,0.21394187222245004,0.07482989835643833,0.3319723990951928,learner,0.3792558303259188,0.0016914479576830626,0.009228144703873686,0.18329230977197897,5
BPIC15_1,duration,nagelkerke,rolling,0.35178804719883916,0.24411598780100133,0.0626349075234794,0.35178804719883916,learner,0.3414610574766801,0.0072146078225254215,0.04126330084948909,0.17484320628737945,5
BPIC15_1,handover,ap,rolling,0.03002902453792015,0.01869651028030097,0.8178950530602266,0.8178950530602266,rung,0.13337941212155224,4.9090282972267064e-05,7.031520450206304e-05,0.6981460598728225,5
BPIC15_1,handover,auc,rolling,0.04535236582120001,0.06369485934325746,0.7210931633876241,0.7210931633876241,rung,0.1698596114479185,0.0006483243922941221,0.0010858936529774444,0.5970422522651846,5
BPIC15_1,handover,brier_skill,rolling,0.10750872147987572,0.4265056403929258,0.19472857006303276,0.4265056403929258,quality_level,0.2712570680641657,0.0032223238919095636,0.009778188308967062,0.3295420163829878,5
BPIC15_1,handover,logloss_skill,rolling,0.01693236987899859,0.1294590198281934,0.1354789437867926,0.1354789437867926,rung,0.7181296665060154,0.013757987826229863,0.06317986834365868,0.2177590455142305,5
BPIC15_1,handover,nagelkerke,rolling,0.13630815524961962,0.00943759247183066,0.30916163548596765,0.30916163548596765,rung,0.545092616792582,0.3756355965530494,2.162457376101222,0.17370774596736668,5
