log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,scale
BPIC15_1,duration,auc,equal-level,0.2458838595673985,0.7541161404326016,0.5416192064505869,rung,0.10990961421596912,split,0.0021034133766765616,0.017469423377685134,216,1.0000000000000002,raw-within-metric
BPIC15_1,duration,brier_skill,equal-level,0.3862845263579913,0.6137154736420087,0.5477298781125348,split,0.3061565243004424,split,0.006469964272443691,0.0040934637860401794,216,0.9999999999999999,raw-within-metric
BPIC15_1,duration,logloss_skill,equal-level,0.387992492966199,0.612007507033801,0.5402486269201223,split,0.26474478236489163,split,0.008142680689944158,-0.01664388021969093,216,1.0000000000000004,raw-within-metric
BPIC15_1,duration,nagelkerke,equal-level,0.39048844337572414,0.6095115566242759,0.5492616627100354,split,0.2634316490841704,split,0.03647607589963188,-0.03871575876425961,216,1.0000000000000002,raw-within-metric
BPIC15_1,handover,ap,equal-level,0.6571687068507372,0.34283129314926275,0.263521720600974,rung,0.6032461938038882,rung,7.142963062006695e-05,0.005427088182399576,216,0.9999999999999999,raw-within-metric
BPIC15_1,handover,auc,equal-level,0.563687169738299,0.436312830261701,0.3461379672983557,rung,0.4515176152072213,rung,0.0010323493332985172,0.018746904917454687,216,1.0000000000000002,raw-within-metric
BPIC15_1,handover,brier_skill,equal-level,0.4250355649683579,0.5749644350316421,0.4760093788306845,split,0.16904107893876613,quality_level,0.009140636626721214,0.05512817430643337,216,0.9999999999999998,raw-within-metric
BPIC15_1,handover,logloss_skill,equal-level,0.14144249389425434,0.8585575061057457,0.734895951202133,rung,0.07868882585166004,split,0.05517622629771754,0.028560260413393556,216,1.0000000000000002,raw-within-metric
BPIC15_1,handover,nagelkerke,equal-level,0.17338682363752367,0.8266131763624763,0.7438294585348638,split,0.10978042280295883,split,1.818282922455656,-0.14120754287137768,216,1.0,raw-within-metric
BPIC15_3,duration,ap,equal-level,0.47338986243271264,0.5266101375672874,0.4464413667740005,split,0.2306982932660425,split,0.003975586466127985,0.058106910667852785,216,0.9999999999999998,raw-within-metric
BPIC15_3,duration,auc,equal-level,0.4782679901534018,0.5217320098465982,0.4435607787971184,split,0.28676461366920647,split,0.004867078736642931,0.06666127964765214,216,1.0000000000000004,raw-within-metric
BPIC15_3,duration,brier_skill,equal-level,0.393114153102831,0.606885846897169,0.4896391492641158,split,0.28678645666411573,split,0.022534744140138122,0.08746102116260487,216,1.0,raw-within-metric
BPIC15_3,duration,logloss_skill,equal-level,0.37723366450858187,0.6227663354914181,0.5274072224802582,split,0.30459835867277785,split,0.027472114204325455,0.06094848619011036,216,0.9999999999999999,raw-within-metric
BPIC15_3,duration,nagelkerke,equal-level,0.34262221407566235,0.6573777859243377,0.573899984669559,split,0.2746827735066498,split,0.2536734162728159,0.16154489411435047,216,1.0,raw-within-metric
BPIC15_3,handover,ap,equal-level,0.5213527805372467,0.47864721946275335,0.46501229057514426,split,0.29593865848118184,split,0.00035426197889727837,0.010058652548422989,216,0.9999999999999998,raw-within-metric
BPIC15_3,handover,auc,equal-level,0.4010405880810136,0.5989594119189864,0.5847009100214361,split,0.20137114736680464,rung,0.0037257835601799895,0.03854899061027709,216,1.0,raw-within-metric
BPIC15_3,handover,brier_skill,equal-level,0.33773166671920657,0.6622683332807935,0.5473545361463089,split,0.24021170313388296,split,0.03377402593404352,-0.02441965794761429,216,1.0000000000000002,raw-within-metric
BPIC15_3,handover,logloss_skill,equal-level,0.32007449912615055,0.6799255008738494,0.5157158445270046,split,0.18903048792291108,split,0.09987638481543776,0.014157284767123426,216,1.0,raw-within-metric
