family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
whole-surface,nonzero,180,80,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9537037037037037,7.2382353651086895,3.5486360791183658,3.258185766051921,0.9180430307327762,0.0,16.0,1.6162647972536635,0.8099936360765194,9.06346043250752,0.0
whole-surface,nonzero,180,80,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9537037037037037,7.275141747329642,3.5680346630223134,3.258185766051921,0.9130859708598578,0.0,15.333333333333334,1.6162647972536635,0.8099936360765194,9.06346043250752,0.0
whole-surface,nonzero,180,80,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9537037037037037,10.085688172131674,5.4821713977204745,3.258185766051921,0.8946659220045138,0.0,7.666666666666667,1.6162647972536635,0.8099936360765194,9.06346043250752,0.0
whole-surface,nonzero,180,80,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9537037037037037,14.349083207466265,7.200942205691608,3.258185766051921,0.4559691228751498,0.0,0.6666666666666666,1.6162647972536635,0.8099936360765194,9.06346043250752,0.0
whole-surface,nonzero,180,80,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9537037037037037,6.939347712118805,3.401861960776571,3.258185766051921,0.9576574037747031,0.0,17.666666666666668,1.6162647972536635,0.8099936360765194,9.06346043250752,0.0
whole-surface,nonzero,180,150,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9685185185185184,7.1643238278703585,3.566348471776647,2.9297826557571027,0.8203608625672304,0.0,19.0,1.6162647972536635,0.7211284864823688,11.73630799760626,0.0
whole-surface,nonzero,180,150,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9685185185185184,7.2000834856010485,3.583424751911792,2.9297826557571027,0.8157139912648051,0.0,19.0,1.6162647972536635,0.7211284864823688,11.73630799760626,0.0
whole-surface,nonzero,180,150,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9685185185185184,10.60761429930749,5.882265339149878,2.9297826557571027,0.74464629549841,0.0,6.0,1.6162647972536635,0.7211284864823688,11.73630799760626,0.0
whole-surface,nonzero,180,150,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9685185185185184,14.759426109167741,7.271979932407088,2.9297826557571027,0.401342033481958,0.0,1.0,1.6162647972536635,0.7211284864823688,11.73630799760626,0.0
whole-surface,nonzero,180,150,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9685185185185184,6.977874823004495,3.471208426834987,2.9297826557571027,0.8409727241516306,0.0,20.0,1.6162647972536635,0.7211284864823688,11.73630799760626,0.0
