quantity,pipeline,package,difference,agrees,tolerance
S_total[BPIC14/handover/rung],0.3002509861987372,0.30025098619873725,5.551115123125783e-17,True,1e-12
S[BPIC14/handover/metric],0.1393965107689411,0.13939651076894116,5.551115123125783e-17,True,1e-12
S_total[BPIC14/handover/metric],0.3205370209619932,0.3205370209619932,0.0,True,1e-12
S[BPIC14/handover/quality_level],0.0649344202846488,0.06493442028464882,2.7755575615628914e-17,True,1e-12
S_total[BPIC14/handover/quality_level],0.1433731942858108,0.14337319428581086,5.551115123125783e-17,True,1e-12
S[BPIC14/handover/split],0.00699857274931,0.006998572749310038,3.8163916471489756e-17,True,1e-12
S_total[BPIC14/handover/split],0.029322456266119,0.029322456266119068,6.938893903907228e-17,True,1e-12
S[BPIC15_1/duration/split],0.1407178195791327,0.14071781957913274,2.7755575615628914e-17,True,1e-12
S_total[BPIC15_1/duration/split],0.6965529448281824,0.6965529448281824,0.0,True,1e-12
S[BPIC15_1/duration/metric],0.1011295150546941,0.1011295150546941,0.0,True,1e-12
S_total[BPIC15_1/duration/metric],0.4199890714366546,0.41998907143665465,5.551115123125783e-17,True,1e-12
S[BPIC15_1/duration/rung],0.0338093339813083,0.033809333981308386,8.326672684688674e-17,True,1e-12
S_total[BPIC15_1/duration/rung],0.3922259971688733,0.3922259971688733,0.0,True,1e-12
S[BPIC15_1/duration/learner],0.0251388372228347,0.025138837222834772,7.28583859910259e-17,True,1e-12
S_total[BPIC15_1/duration/learner],0.3795665277132426,0.3795665277132426,0.0,True,1e-12
S[BPIC15_1/duration/quality_level],0.0053169527556734,0.005316952755673467,6.678685382510707e-17,True,1e-12
S_total[BPIC15_1/duration/quality_level],0.306718085463461,0.306718085463461,0.0,True,1e-12
S[BPIC15_1/handover/split],0.0603698100540133,0.060369810054013345,4.85722573273506e-17,True,1e-12
S_total[BPIC15_1/handover/split],0.7406067378287318,0.7406067378287318,0.0,True,1e-12
S[BPIC15_1/handover/metric],0.0361624540388136,0.036162454038813636,3.469446951953614e-17,True,1e-12
S_total[BPIC15_1/handover/metric],0.5693085653869744,0.5693085653869744,0.0,True,1e-12
S[BPIC15_1/handover/quality_level],0.0274392588994893,0.027439258899489356,5.551115123125783e-17,True,1e-12
S_total[BPIC15_1/handover/quality_level],0.2158143837979136,0.21581438379791362,2.7755575615628914e-17,True,1e-12
S[BPIC15_1/handover/rung],0.0042998374413259,0.004299837441325933,3.2959746043559335e-17,True,1e-12
S_total[BPIC15_1/handover/rung],0.6692991176699442,0.6692991176699442,0.0,True,1e-12
