log,target,metric,draw,interaction_total
BPIC13_closed,handover,nagelkerke,45,0.6320785610107484
BPIC13_closed,handover,nagelkerke,46,0.41770749162744336
BPIC13_closed,handover,nagelkerke,47,0.5791087062930347
BPIC13_closed,handover,nagelkerke,48,0.6049521461331797
BPIC13_closed,handover,nagelkerke,49,0.49233041673652134
BPIC13_closed,handover,nagelkerke,50,0.551645986202825
BPIC13_closed,handover,nagelkerke,51,0.31843584476113007
BPIC13_closed,handover,nagelkerke,52,0.4675846794922107
BPIC13_closed,handover,nagelkerke,53,0.641905698595617
BPIC13_closed,handover,nagelkerke,54,0.4943130191688918
BPIC13_closed,handover,nagelkerke,55,0.3370086739824818
BPIC13_closed,handover,nagelkerke,56,0.7235497778880431
BPIC13_closed,handover,nagelkerke,57,0.6288240851451128
BPIC13_closed,handover,nagelkerke,58,0.6026054194140211
BPIC13_closed,handover,nagelkerke,59,0.3479346001186634
BPIC13_closed,handover,nagelkerke,60,0.3928328915879291
BPIC13_closed,handover,nagelkerke,61,0.6431183929959211
BPIC13_closed,handover,nagelkerke,62,0.595135714428326
BPIC13_closed,handover,nagelkerke,63,0.4229807191434205
BPIC13_closed,handover,nagelkerke,64,0.47566481294179896
BPIC13_closed,handover,nagelkerke,65,0.41145174625927616
BPIC13_closed,handover,nagelkerke,66,0.4097786448313676
BPIC13_closed,handover,nagelkerke,67,0.3780595512171543
BPIC13_closed,handover,nagelkerke,68,0.42422377703522496
BPIC13_closed,handover,nagelkerke,69,0.5431547804564485
BPIC13_closed,handover,nagelkerke,70,0.588486706719362
BPIC13_closed,handover,nagelkerke,71,0.3831035847665738
BPIC13_closed,handover,nagelkerke,72,0.6206113662261178
BPIC13_closed,handover,nagelkerke,73,0.34719950082602313
BPIC13_closed,handover,nagelkerke,74,0.4795559236132041
BPIC13_closed,handover,nagelkerke,75,0.39913751098927197
BPIC13_closed,handover,nagelkerke,76,0.4807399700513838
BPIC13_closed,handover,nagelkerke,77,0.639256353567184
BPIC13_closed,handover,nagelkerke,78,0.5060588285438302
BPIC13_closed,handover,nagelkerke,79,0.5661338911740224
BPIC13_incidents,duration,ap,0,0.29865278594202627
BPIC13_incidents,duration,ap,1,0.10976269884935119
BPIC13_incidents,duration,ap,2,0.5648764691465992
BPIC13_incidents,duration,ap,3,0.49001371632810176
BPIC13_incidents,duration,ap,4,0.3426852086403861
BPIC13_incidents,duration,ap,5,0.23053936203095948
BPIC13_incidents,duration,ap,6,0.50087809121626
BPIC13_incidents,duration,ap,7,0.22839836862226903
BPIC13_incidents,duration,ap,8,0.20481407881620262
BPIC13_incidents,duration,ap,9,0.24183780451420822
BPIC13_incidents,duration,ap,10,0.20335202167124977
BPIC13_incidents,duration,ap,11,0.08543412207939205
BPIC13_incidents,duration,ap,12,0.31013797784788555
BPIC13_incidents,duration,ap,13,0.1892525984916127
BPIC13_incidents,duration,ap,14,0.3653295166456556
BPIC13_incidents,duration,ap,15,0.2327448672745298
BPIC13_incidents,duration,ap,16,0.3157072505002747
