log,target,metric,measure,axis,S,S_total,involvement,levels,n_cells,scale
BPIC15_4,duration,logloss_skill,reference,rung,0.0069850033087667665,0.0674430090223617,0.06045800571359493,3,216,raw-within-metric
BPIC15_4,duration,nagelkerke,reference,learner,0.29396541168957036,0.7138197129552559,0.41985430126568557,2,216,raw-within-metric
BPIC15_4,duration,nagelkerke,reference,split,0.08142320745520033,0.47318513832961506,0.39176193087441474,6,216,raw-within-metric
BPIC15_4,duration,nagelkerke,reference,quality_level,0.08999181562217569,0.43253080919931364,0.34253899357713796,6,216,raw-within-metric
BPIC15_4,duration,nagelkerke,reference,rung,0.0064878213890465376,0.04309947699544224,0.036611655606395704,3,216,raw-within-metric
BPIC15_4,handover,ap,reference,learner,0.01575755581943898,0.38069747064462806,0.36493991482518906,2,216,raw-within-metric
BPIC15_4,handover,ap,reference,split,0.17027918041545165,0.6636320748969233,0.4933528944814717,6,216,raw-within-metric
BPIC15_4,handover,ap,reference,quality_level,0.026229628496133393,0.19758745595121763,0.17135782745508424,6,216,raw-within-metric
BPIC15_4,handover,ap,reference,rung,0.14254333271578778,0.6633088333553512,0.5207655006395634,3,216,raw-within-metric
BPIC15_4,handover,auc,reference,learner,0.0808569046293871,0.5503268489475792,0.4694699443181921,2,216,raw-within-metric
BPIC15_4,handover,auc,reference,split,0.09235936067535867,0.6337349986706751,0.5413756379953164,6,216,raw-within-metric
BPIC15_4,handover,auc,reference,quality_level,0.044240198539735875,0.35435762346191363,0.31011742492217775,6,216,raw-within-metric
BPIC15_4,handover,auc,reference,rung,0.07351827214768468,0.42063180358693764,0.34711353143925294,3,216,raw-within-metric
BPIC15_4,handover,brier_skill,reference,learner,0.07153860885548252,0.5494552151656814,0.4779166063101989,2,216,raw-within-metric
BPIC15_4,handover,brier_skill,reference,split,0.043700780178740115,0.6873193372641446,0.6436185570854045,6,216,raw-within-metric
BPIC15_4,handover,brier_skill,reference,quality_level,0.03710928390747044,0.4119757879067886,0.3748665039993182,6,216,raw-within-metric
BPIC15_4,handover,brier_skill,reference,rung,0.06774429759580652,0.5636567790937652,0.4959124814979587,3,216,raw-within-metric
BPIC15_4,handover,logloss_skill,reference,learner,0.20172929097931536,0.6123598072235279,0.41063051624421254,2,216,raw-within-metric
BPIC15_4,handover,logloss_skill,reference,split,0.04899820871665206,0.603067258531615,0.554069049814963,6,216,raw-within-metric
BPIC15_4,handover,logloss_skill,reference,quality_level,0.012420285529870321,0.3565958659793382,0.34417558044946783,6,216,raw-within-metric
BPIC15_4,handover,logloss_skill,reference,rung,0.044620349044180364,0.5311052111584191,0.48648486211423875,3,216,raw-within-metric
BPIC15_4,handover,nagelkerke,reference,learner,0.014513411375834015,0.5094281635496988,0.49491475217386477,2,216,raw-within-metric
BPIC15_4,handover,nagelkerke,reference,split,0.006063758631893716,0.8958407210418463,0.8897769624099526,6,216,raw-within-metric
BPIC15_4,handover,nagelkerke,reference,quality_level,0.01651557626299469,0.49964939338568015,0.48313381712268544,6,216,raw-within-metric
BPIC15_4,handover,nagelkerke,reference,rung,0.0230233800128577,0.5555862962529554,0.5325629162400977,3,216,raw-within-metric
BPIC15_5,duration,ap,reference,learner,0.08108932612461674,0.5877756898990614,0.5066863637744446,2,216,raw-within-metric
BPIC15_5,duration,ap,reference,split,0.010726577982522901,0.5938650284401406,0.5831384504576177,6,216,raw-within-metric
BPIC15_5,duration,ap,reference,quality_level,0.05824486513382955,0.2635902468704212,0.20534538173659167,6,216,raw-within-metric
BPIC15_5,duration,ap,reference,rung,0.07434502814597113,0.6801652725587967,0.6058202444128256,3,216,raw-within-metric
